order_id,customer_id,amount,date,coupon_code
1001,C001,50.00,2025-08-10T10:30:00Z,SAVE10
1002,C002,25.50,2025-08-10T14:22:00Z,
1003,C003,100.00,2025-08-11T09:15:00Z,WELCOME10
1004,C004,15.75,2025-08-11T16:45:00Z,EXPIRED20
1005,C005,200.00,2025-08-12T11:00:00Z,INVALID
1006,C006,8.99,2025-08-12T13:30:00Z,HALFPAST
1007,C007,45.00,2025-08-12T15:20:00Z,5OFF
1008,C008,3.99,2025-08-13T08:45:00Z,5OFF
1009,C009,0.55,2025-08-13T10:30:00Z,WELCOME10
1010,C010,75.25,2025-08-13T12:15:00Z,save10
1011,C011,0.60,2025-08-13T14:30:00Z,HALFPAST
1012,C012,9.99,2025-08-13T16:00:00Z,5OFF
1013,C013,10.00,2025-08-16T00:00:00Z,SAVE10
1014,C014,35.00,2025-08-15T23:59:59Z,HALFPAST
